Year,Day of Week,Month,Day,Time (ET),Game Type,Home Team,Away Team,Arena,City,State,Attendance,Date
2022,Wednesday,June,22,7:00 PM,Regular season,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,4652,2022-06-22
2022,Thursday,June,23,8:00 PM,Regular season,Dallas Wings,Indiana Fever,College Park Center,Arlington,TX,2791,2022-06-23
2022,Thursday,June,23,8:00 PM,Regular season,Minnesota Lynx,Phoenix Mercury,Target Center,Minneapolis,MN,8004,2022-06-23
2022,Thursday,June,23,10:00 PM,Regular season,Seattle Storm,Washington Mystics,Climate Pledge Arena,Seattle,WA,9884,2022-06-23
2022,Thursday,June,23,6:00 AM,Regular season,Los Angeles Sparks,Chicago Sky,Crypto.com Arena,Los Angeles,CA,5627,2022-06-23
2022,Friday,June,24,3:00 AM,Regular season,Atlanta Dream,New York Liberty,Gateway Center Arena @ College Park,Atlanta,GA,2697,2022-06-24
2022,Saturday,June,25,8:00 PM,Regular season,Dallas Wings,Phoenix Mercury,College Park Center,Arlington,TX,4240,2022-06-25
2022,Saturday,June,25,9:00 PM,Regular season,Seattle Storm,Los Angeles Sparks,Climate Pledge Arena,Seattle,WA,9955,2022-06-25
2022,Saturday,June,25,10:00 PM,Regular season,Las Vegas Aces,Washington Mystics,Michelob ULTRA Arena,Las Vegas,NV,7171,2022-06-25
2022,Sunday,June,26,3:00 PM,Regular season,Atlanta Dream,Connecticut Sun,Gateway Center Arena @ College Park,Atlanta,GA,2722,2022-06-26
2022,Sunday,June,26,6:00 PM,Regular season,Chicago Sky,Minnesota Lynx,Wintrust Arena,Chicago,IL,7022,2022-06-26
2022,Monday,June,27,10:00 PM,Regular season,Phoenix Mercury,Indiana Fever,Footprint Center,Phoenix,AZ,5044,2022-06-27
2022,Monday,June,27,6:00 AM,Regular season,Los Angeles Sparks,Las Vegas Aces,Crypto.com Arena,Los Angeles,CA,4200,2022-06-27
2022,Tuesday,June,28,7:00 PM,Regular season,Washington Mystics,Atlanta Dream,Entertainment and Sports Arena,Washington,DC,3517,2022-06-28
2022,Tuesday,June,28,8:00 PM,Regular season,Minnesota Lynx,Dallas Wings,Target Center,Minneapolis,MN,5603,2022-06-28
2022,Wednesday,June,29,12:00 PM,Regular season,Chicago Sky,Connecticut Sun,Wintrust Arena,Chicago,IL,6709,2022-06-29
2022,Wednesday,June,29,10:00 PM,Regular season,Phoenix Mercury,Indiana Fever,Footprint Center,Phoenix,AZ,5833,2022-06-29
2022,Wednesday,June,29,10:00 PM,Regular season,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,9499,2022-06-29
2022,Thursday,June,30,7:00 PM,Regular season,New York Liberty,Atlanta Dream,Barclays Center,Brooklyn,NY,6161,2022-06-30
2022,Friday,July,1,8:00 PM,Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,3187,2022-07-01
2022,Friday,July,1,8:00 PM,Regular season,Minnesota Lynx,Las Vegas Aces,Target Center,Minneapolis,MN,6104,2022-07-01
2022,Friday,July,1,10:00 PM,Regular season,Seattle Storm,Indiana Fever,Climate Pledge Arena,Seattle,WA,8565,2022-07-01
2022,Saturday,July,2,1:00 PM,Regular season,Chicago Sky,Phoenix Mercury,Wintrust Arena,Chicago,IL,8028,2022-07-02
2022,Sunday,July,3,1:00 PM,Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,5814,2022-07-03
2022,Sunday,July,3,3:00 PM,Regular season,Atlanta Dream,Seattle Storm,Gateway Center Arena @ College Park,Atlanta,GA,3138,2022-07-03
2022,Sunday,July,3,7:00 PM,Regular season,Minnesota Lynx,Las Vegas Aces,Target Center,Minneapolis,MN,7603,2022-07-03
2022,Sunday,July,3,6:00 PM,Regular season,Los Angeles Sparks,New York Liberty,Crypto.com Arena,Los Angeles,CA,5436,2022-07-03
2022,Monday,July,4,7:00 PM,Regular season,Los Angeles Sparks,Phoenix Mercury,Crypto.com Arena,Los Angeles,CA,3340,2022-07-04
2022,Tuesday,July,5,7:00 PM,Regular season,Indiana Fever,Seattle Storm,Indiana Farmers Coliseum,Indianapolis,IN,2585,2022-07-05
2022,Tuesday,July,5,8:00 PM,Regular season,Dallas Wings,Connecticut Sun,College Park Center,Arlington,TX,3445,2022-07-05
2022,Wednesday,July,6,1:00 PM,Regular season,Minnesota Lynx,Chicago Sky,Target Center,Minneapolis,MN,11103,2022-07-06
2022,Wednesday,July,6,8:00 PM,Regular season,Atlanta Dream,Washington Mystics,Gateway Center Arena @ College Park,Atlanta,GA,1810,2022-07-06
2022,Wednesday,July,6,10:00 PM,Regular season,Las Vegas Aces,New York Liberty,Michelob ULTRA Arena,Las Vegas,NV,8405,2022-07-06
2022,Thursday,July,7,7:00 PM,Regular season,Indiana Fever,Chicago Sky,Indiana Farmers Coliseum,Indianapolis,IN,1839,2022-07-07
2022,Thursday,July,7,10:00 PM,Regular season,Phoenix Mercury,New York Liberty,Footprint Center,Phoenix,AZ,6158,2022-07-07
2022,Thursday,July,7,6:00 AM,Regular season,Los Angeles Sparks,Seattle Storm,Crypto.com Arena,Los Angeles,CA,6389,2022-07-07
2022,Tuesday,July,12,3:00 PM,Regular season,Seattle Storm,Dallas Wings,Climate Pledge Arena,Seattle,WA,9486,2022-07-12
2022,Tuesday,July,12,7:00 PM,Regular season,New York Liberty,Las Vegas Aces,Barclays Center,Brooklyn,NY,5201,2022-07-12
2022,Tuesday,July,12,8:00 PM,Regular season,Chicago Sky,Atlanta Dream,Wintrust Arena,Chicago,IL,7074,2022-07-12
2022,Tuesday,July,12,8:00 PM,Regular season,Minnesota Lynx,Phoenix Mercury,Target Center,Minneapolis,MN,6503,2022-07-12
2022,Tuesday,July,12,6:00 AM,Regular season,Los Angeles Sparks,Washington Mystics,Crypto.com Arena,Los Angeles,CA,5004,2022-07-12
2022,Wednesday,July,13,12:00 PM,Regular season,Indiana Fever,Connecticut Sun,Indiana Farmers Coliseum,Indianapolis,IN,3212,2022-07-13
2022,Thursday,July,14,11:00 AM,Regular season,New York Liberty,Las Vegas Aces,Barclays Center,Brooklyn,NY,9896,2022-07-14
2022,Thursday,July,14,8:00 PM,Regular season,Minnesota Lynx,Dallas Wings,Target Center,Minneapolis,MN,4834,2022-07-14
2022,Thursday,July,14,10:00 PM,Regular season,Phoenix Mercury,Washington Mystics,Footprint Center,Phoenix,AZ,5994,2022-07-14
2022,Thursday,July,14,6:00 AM,Regular season,Los Angeles Sparks,Chicago Sky,Crypto.com Arena,Los Angeles,CA,5856,2022-07-14
2022,Friday,July,15,7:00 PM,Regular season,Indiana Fever,Minnesota Lynx,Indiana Farmers Coliseum,Indianapolis,IN,1530,2022-07-15
2022,Friday,July,15,3:00 AM,Regular season,Atlanta Dream,Connecticut Sun,Gateway Center Arena @ College Park,Atlanta,GA,2962,2022-07-15
2022,Saturday,July,16,8:00 PM,Regular season,Dallas Wings,Chicago Sky,College Park Center,Arlington,TX,5126,2022-07-16
